ts,open,high,low,close
1784800800000,65607.8,65753.5,65552.5,65700.9,1
1784804400000,65700.8,65705.7,65508,65529.9,1
1784808000000,65529.9,65556.5,64951,65133.2,1
1784811600000,65133.1,65193.1,64833.4,64857.5,1
1784815200000,64857.4,65190.6,64790,64880.1,1
1784818800000,64880,64995.1,64687.8,64926.7,1
1784822400000,64927.5,64931.1,64677.9,64725.4,1
1784826000000,64725.9,64871.8,64615.4,64649.2,1
1784829600000,64649.1,64919.5,64648.6,64838.2,1
1784833200000,64838.2,64904.3,64664.5,64825.8,1
1784836800000,64819,65155.7,64806.5,65108.9,1
1784840400000,65108.9,65169.9,64969.6,65137.7,1
1784844000000,65137.7,65194.4,64977.9,65159.8,1
1784847600000,65159.8,65187.8,65010.9,65065.8,1
1784851200000,65065.8,65079.9,64721.4,64940.1,1
1784854800000,64940.6,65138.4,64907.5,65040,1
1784858400000,65039.9,65153.9,64881,65085.6,1
1784862000000,65085.6,65429.3,65036.7,65418.6,1
1784865600000,65418.6,65432.9,65236.4,65288.4,1
1784869200000,65288.2,65364.7,65214.6,65284.5,1
1784872800000,65284.5,65491.4,65247.5,65443.2,1
1784876400000,65443.3,65780,65335.2,65470.3,1
1784880000000,65470.3,65481.3,65275.3,65276.1,1
1784883600000,65276.2,65295.1,64922.8,65085.1,1
1784887200000,65085.9,65127.3,64869.1,64919.9,1
1784890800000,64919.9,65076.1,64819.3,65050.4,1
1784894400000,65050.4,65098.7,64732.1,64748.9,1
1784898000000,64749,64774,63885.6,64124.4,1
1784901600000,64124.3,64174.1,63707.3,64032.4,1
1784905200000,64032.4,64301.5,63824.1,64067.4,1
1784908800000,64067.2,64171.9,63848.6,63928.5,1
1784912400000,63928.5,64180.8,63878.3,64152.8,1
1784916000000,64152.8,64256.5,64090.9,64237.3,1
1784919600000,64237.2,64257.6,64107.5,64192.8,1
1784923200000,64193,64252.5,64093.7,64138.7,1
1784926800000,64138.7,64190.9,64090.2,64116.2,1
1784930400000,64116.2,64188.6,64090.5,64133.4,1
1784934000000,64133.4,64150.5,64102,64119.1,1
1784937600000,64119.1,64148.8,63998.6,64040.3,1
1784941200000,64039.9,64129.7,63970.2,64031.9,1
1784944800000,64031.9,64065.2,63983.7,64009.2,1
1784948400000,64009.2,64072.8,63981.3,64049.2,1
1784952000000,64049,64169.8,64045.1,64150.1,1
1784955600000,64150.1,64166.8,63951.7,63990,1
1784959200000,63989.9,64033.5,63927.3,63985.3,1
1784962800000,63985.3,64010.8,63964.8,63971.3,1
1784966400000,63971.3,63974.8,63772.9,63843.8,1
1784970000000,63843.8,63994.5,63794.5,63969.6,1
1784973600000,63970.1,64036.5,63958.1,64036.5,1
1784977200000,64036.5,64077.7,64011,64027.2,1
1784980800000,64027.3,64085.6,63997.5,64081.8,1
1784984400000,64081.8,64234,64067.3,64136,1
1784988000000,64136.1,64189.1,64085.9,64180.3,1
1784991600000,64179.4,64250,64138.4,64152.4,1
1784995200000,64152.4,64220.5,64095.5,64186.1,1
1784998800000,64186.1,64328.6,64163.1,64237.6,1
1785002400000,64237.3,64417.5,64237.3,64387.4,1
1785006000000,64387.8,64414.8,64355.8,64362.7,1
1785009600000,64362.7,64370.1,64285,64302.5,1
1785013200000,64302.6,64402.2,64225.3,64317.1,1
1785016800000,64317.1,64395.5,64317.1,64374.1,1
1785020400000,64374.1,64399,64332.5,64344,1
1785024000000,64344.4,64477.5,64318.7,64477.4,1
1785027600000,64477.4,64511.2,64415.7,64434.5,1
1785031200000,64434.5,64493.5,64390.2,64486.8,1
1785034800000,64486.8,64546.8,64447.3,64513.9,1
1785038400000,64513.9,64565.4,64455,64491.3,1
1785042000000,64491.4,64493.9,64379.2,64385.6,1
1785045600000,64385.6,64426.9,64262.2,64413,1
1785049200000,64412.9,64437.9,64320,64348.2,1
1785052800000,64349,64466.1,64324.1,64449.8,1
1785056400000,64449.8,64522.6,64448.7,64500.4,1
1785060000000,64500.4,64542.3,64456.3,64479.5,1
1785063600000,64479.5,64500.3,64451.7,64477.3,1
1785067200000,64477.3,64634.8,64400.3,64432.3,1
1785070800000,64432.3,64542.6,64378.9,64494.2,1
1785074400000,64494.2,64742.4,64493.8,64684.1,1
1785078000000,64684.1,64799,64642.4,64737.1,1
1785081600000,64737.1,64909.5,64670.8,64703.7,1
1785085200000,64703.7,64768.4,64640.3,64665,1
1785088800000,64665.4,64749.4,64638.1,64709.1,1
1785092400000,64709.1,64734.2,64640.3,64672.8,1
1785096000000,64672.8,64679.2,64606.3,64621.9,1
1785099600000,64621.9,64898.3,64621.6,64825,1
1785103200000,64825,65479.6,64825,65381.1,1
1785106800000,65381.1,65556.7,65244,65378.3,1
1785110400000,65378.3,65404.2,65024.5,65100.1,1
1785114000000,65100,65190.3,64870.3,65175.5,1
1785117600000,65175.5,65253.3,65085.2,65146.7,1
1785121200000,65146.7,65337.4,65140,65257.7,1
1785124800000,65257.7,65473.1,65214.1,65255.4,1
1785128400000,65255.4,65468.3,65251.8,65438.8,1
