ts,open,high,low,close,confirm
1784368800000,1844.08,1845.82,1843.05,1844.49,1
1784372400000,1844.49,1845.82,1843.35,1844.5,1
1784376000000,1844.5,1849.82,1839.23,1843.78,1
1784379600000,1843.79,1843.79,1836.44,1840.71,1
1784383200000,1840.71,1845.43,1839.76,1845,1
1784386800000,1845,1845.35,1841.07,1843.01,1
1784390400000,1843.01,1846.34,1840.46,1845.14,1
1784394000000,1845.14,1852.53,1842.5,1851.42,1
1784397600000,1851.44,1866.2,1848.93,1856.55,1
1784401200000,1856.55,1860.45,1854.91,1857.43,1
1784404800000,1857.43,1862.58,1854.48,1856.11,1
1784408400000,1856.11,1862.07,1854.87,1859.94,1
1784412000000,1859.9,1864.9,1859.09,1862.52,1
1784415600000,1862.52,1863.5,1858.98,1861.71,1
1784419200000,1861.71,1862.61,1858.29,1860.55,1
1784422800000,1860.54,1860.62,1857.54,1858.33,1
1784426400000,1858.32,1876.64,1857.35,1870.64,1
1784430000000,1870.64,1872.2,1862.9,1866.43,1
1784433600000,1866.44,1869.46,1863.36,1866.4,1
1784437200000,1866.4,1869.45,1864.66,1867.57,1
1784440800000,1867.58,1870.79,1867.21,1868.24,1
1784444400000,1868.24,1871.08,1865.97,1869.16,1
1784448000000,1869.16,1874.54,1866.68,1872.74,1
1784451600000,1872.73,1873.04,1864.45,1865.48,1
1784455200000,1865.47,1878.31,1863.24,1871.44,1
1784458800000,1871.44,1877.77,1869.06,1870.52,1
1784462400000,1870.52,1873.68,1863.57,1869.75,1
1784466000000,1869.75,1873.17,1864.94,1871.07,1
1784469600000,1871.07,1878.28,1867.83,1873.83,1
1784473200000,1873.83,1875.29,1867.99,1870.16,1
1784476800000,1870.16,1872.93,1865.12,1865.83,1
1784480400000,1865.83,1872.9,1857.22,1866.23,1
1784484000000,1866.23,1866.91,1851.55,1860.21,1
1784487600000,1860.21,1862.05,1853.79,1861.58,1
1784491200000,1861.57,1866.51,1861.44,1866.48,1
1784494800000,1866.48,1867.54,1856.48,1861.1,1
1784498400000,1861.08,1876.24,1855.96,1869.56,1
1784502000000,1869.56,1874.07,1863.85,1871.29,1
1784505600000,1871.29,1891.3,1861.63,1871.32,1
1784509200000,1871.32,1889.28,1864.71,1868.48,1
1784512800000,1868.48,1882.48,1866.78,1878.03,1
1784516400000,1878.03,1881.48,1869.92,1878.93,1
1784520000000,1878.98,1879.17,1867.26,1867.94,1
1784523600000,1867.94,1869.03,1850.23,1854.59,1
1784527200000,1854.61,1859.25,1842.41,1848.66,1
1784530800000,1848.66,1864.43,1847.98,1863.01,1
1784534400000,1863.01,1867.56,1852.95,1859.81,1
1784538000000,1859.81,1866.63,1856.92,1863.3,1
1784541600000,1863.28,1870.98,1861.63,1868,1
1784545200000,1868,1895.75,1866.96,1892.38,1
1784548800000,1892.38,1892.84,1870.99,1872.45,1
1784552400000,1872.45,1879.85,1856.4,1861.74,1
1784556000000,1861.74,1871.04,1852.62,1867.17,1
1784559600000,1867.18,1903.88,1866.71,1901.48,1
1784563200000,1901.48,1905.94,1892.8,1898.49,1
1784566800000,1898.49,1908.71,1894.48,1906.72,1
1784570400000,1906.72,1917.41,1896.46,1898.54,1
1784574000000,1898.55,1900.2,1889.03,1897.58,1
1784577600000,1897.58,1905.86,1895.17,1904.04,1
1784581200000,1904.04,1906.9,1901.03,1901.49,1
1784584800000,1901.49,1901.71,1893.33,1894.76,1
1784588400000,1894.76,1904.3,1894.21,1903.72,1
1784592000000,1903.69,1917.09,1899.53,1914.15,1
1784595600000,1914.07,1917.34,1905.92,1906.35,1
1784599200000,1906.35,1922.44,1903.51,1916.35,1
1784602800000,1916.28,1927.53,1915.85,1925.76,1
1784606400000,1925.73,1930.17,1921.42,1923.49,1
1784610000000,1923.49,1935.21,1920.73,1929.54,1
1784613600000,1929.54,1939.03,1926.71,1933.99,1
1784617200000,1933.99,1939.37,1932.37,1933.06,1
1784620800000,1933.06,1951.95,1930.52,1938.91,1
1784624400000,1938.91,1942.68,1935.4,1940.98,1
1784628000000,1940.98,1946.01,1930.93,1933.02,1
1784631600000,1933.01,1936.61,1926.35,1934.91,1
1784635200000,1934.9,1944.43,1931.91,1941.78,1
1784638800000,1941.78,1942.56,1926.4,1939.45,1
1784642400000,1939.45,1943.1,1926.94,1930.8,1
1784646000000,1930.87,1931.6,1922.43,1930.88,1
1784649600000,1930.88,1934.5,1920.8,1925.49,1
1784653200000,1925.49,1927.49,1914.59,1917.79,1
1784656800000,1917.79,1922.12,1914.13,1919.05,1
1784660400000,1919.06,1924.95,1917.17,1922.29,1
1784664000000,1922.34,1925.17,1920.34,1921.99,1
1784667600000,1922.01,1925.65,1918.58,1923.06,1
1784671200000,1923.06,1923.06,1916.87,1919.81,1
1784674800000,1919.8,1930.47,1915.57,1929.12,1
1784678400000,1929.12,1943.35,1927.95,1938.11,1
1784682000000,1938.11,1939.62,1926.6,1932.53,1
1784685600000,1932.57,1935.39,1925.57,1929.14,1
1784689200000,1929.15,1934.92,1925.48,1927.43,1
1784692800000,1927.42,1938.16,1926.86,1935.44,1
1784696400000,1935.44,1935.79,1917.2,1918.65,1
1784700000000,1918.65,1920.25,1912.27,1916.63,1
1784703600000,1916.63,1918.19,1909.9,1913.49,1
1784707200000,1913.49,1924.41,1913.02,1920.22,1
1784710800000,1920.22,1925.51,1918.3,1923.68,1
1784714400000,1923.68,1932.96,1922.17,1929.8,1
1784718000000,1929.79,1930.66,1921.36,1926.5,1
1784721600000,1926.5,1926.51,1912.53,1916.16,1
1784725200000,1916.16,1941.67,1916.02,1938.85,1
1784728800000,1938.85,1954.88,1921.96,1932.16,1
1784732400000,1932.12,1951.42,1931.92,1941.97,1
1784736000000,1941.97,1955.38,1934.23,1948.75,1
1784739600000,1948.75,1949.2,1933.56,1937.45,1
1784743200000,1937.45,1938.98,1922.18,1929.72,1
1784746800000,1929.72,1931.14,1919.93,1924.29,1
1784750400000,1924.18,1929.44,1921.85,1925.9,1
1784754000000,1925.9,1938.85,1925.85,1937.9,1
1784757600000,1937.9,1938.25,1929.79,1937.5,1
1784761200000,1937.5,1937.66,1922.49,1933.48,1
