time,low,high,open,close,volume
1520215200,11444.65,11498.5,11444.65,11497.01,560.28742308
1520218800,11452.5,11579.99,11497.01,11555.49,1190.84567091
1520222400,11505,11599.01,11555.49,11505.99,664.91938204
1520226000,11452.26,11526.13,11506,11506,599.67773662
1520229600,11486.25,11540.08,11506,11506.84,295.18415552
1520233200,11493,11549.03,11506.85,11507.01,214.43822092
1520236800,11414.89,11522.87,11507.01,11432.97,308.99606181
1520240400,11422.42,11460,11432.97,11459,105.1492175
1520244000,11411.23,11459.01,11459.01,11457.84,162.78426452
1520247600,11447.88,11499.85,11457.83,11480.04,104.8073971
1520251200,11480.04,11540,11480.04,11525,322.95977548
1520254800,11470.2,11536.06,11525,11486.88,218.38400601
1520258400,11445,11500,11486.88,11470,463.30353935
1520262000,11461.59,11498,11469.99,11479.12,203.57269475
1520265600,11479.11,11543.52,11479.12,11520,296.54583693
1520269200,11479.99,11520.01,11520.01,11481.97,295.40735643
1520272800,11481.96,11645.74,11481.96,11635.75,1102.25199073
1520276400,11611,11643.5,11635.76,11611,585.83279999
1520280000,11560,11640,11611.01,11579,853.13030756
1520283600,11515.91,11579.64,11579,11555.98,596.34323072
1520287200,11540,11590,11555.98,11551.47,288.02648144
1520290800,11339,11570,11551.47,11377.54,905.26233667
1520294400,11275,11395.63,11371.5,11300,1606.47702731
1520298000,11207,11300.01,11300,11298.2,1147.63514089
1520301600,11215.25,11298.21,11298.21,11269.46,446.09731364
1520305200,11170,11282.69,11269.46,11250,752.59564737
1520308800,11249.99,11331.48,11249.99,11267.9,652.2078454
1520312400,11246,11310,11267.9,11298.05,297.79904595
1520316000,11275,11320,11298.06,11285,190.64661758
1520319600,11225.01,11285,11284.99,11263.21,328.72536144
1520323200,11255.89,11279.69,11263.21,11257.26,119.75393301
1520326800,11249,11285,11257.25,11249.99,243.36548845
1520330400,10875,11250,11249.99,10940.01,1649.18728267
1520334000,10855,10965.51,10941.11,10942.02,573.84207411
1520337600,10875.82,10959,10942.02,10920.28,452.66917475
1520341200,10811,10920.28,10920.28,10831.09,807.47546068
1520344800,10831.08,11000,10831.09,10998.55,670.21834073
1520348400,10967,11010,10998.54,10975.01,565.11330677
1520352000,10915.01,10975.01,10975,10926.69,554.37580027
1520355600,10731.03,10927.01,10926.68,10763.02,1542.45924892
1520359200,10705,10844.99,10763.02,10713.69,1031.22463968
1520362800,10565.85,10725.69,10713.7,10705,1782.81605301
1520366400,10580.5,10711,10704.99,10649.06,1024.00454483
1520370000,10649.07,10798,10649.07,10789.9,866.29782835
1520373600,10725.33,10799,10789.91,10773.02,511.63438472
1520377200,10589.4,10778.1,10773.02,10700,749.26646733
1520380800,10700,10888,10700,10880,844.2096086
1520384400,10812.5,10894,10880,10854.02,445.53365942
1520388000,10748.26,10876.47,10854.01,10791.01,483.21735618
1520391600,10691.63,10800,10791.01,10740,477.40047528
1520395200,10716,10778,10742.81,10769.03,249.57958836
1520398800,10639.97,10813.92,10769.03,10664.99,540.2145872
1520402400,10500,10665,10665,10505.01,939.408889
1520406000,10439.02,10550,10505.01,10524.08,878.67218975
1520409600,10524.07,10619.63,10524.08,10552.99,420.01783221
1520413200,10428.14,10552.99,10552.99,10476.99,266.93132538
1520416800,10458.92,10589.07,10477,10490,264.06643394
1520420400,10467.63,10641.73,10489.99,10641.72,486.7563448
1520424000,10590,10659.29,10641.73,10604.64,183.70320692
1520427600,10513.54,10632.75,10604.64,10545,354.26581727
1520431200,10535,10654.64,10545,10650,426.21620371
1520434800,10604,10705,10650,10655.01,482.44137446
1520438400,9870.67,10668.9,10655.01,9947.12,5544.59057015
1520442000,9400,10094.45,9947.12,9735.81,8664.89585923
1520445600,9675.01,9947,9735.8,9678.36,3207.90273882
1520449200,9618,9872.01,9678.36,9855.99,1813.28962093
1520452800,9712.53,9856,9855.99,9777.75,1096.43935264
1520456400,9777.74,9987.46,9777.74,9960.02,1427.25048529
1520460000,9887.81,10149.88,9960.01,9935,1987.27571065
1520463600,9830,9980,9935.01,9925,1002.2869973
1520467200,9867.01,10030,9925,9952,744.73193046
1520470800,9800,10037.44,9952,9872,886.95015957
1520474400,9570,9872,9872,9648.15,1780.35236521
1520478000,9510,9703.42,9648.16,9560.19,1092.73024715
1520481600,9538.9,9792.45,9554.43,9790.17,1096.04719058
1520485200,9700,9844.61,9790.17,9807,506.42899328
1520488800,9736.22,9866.71,9807.01,9759.28,356.15754314
1520492400,9702.4,9996,9759.28,9965.01,772.92946812
1520496000,9825.28,9969.14,9965.01,9919.11,585.28247412
1520499600,9919.1,10098,9919.11,10064,677.16317687
1520503200,9940,10073.12,10064,10027.53,359.07653146
1520506800,9929.57,10042.65,10027.53,9937.26,275.00683276
1520510400,9734.02,9991.74,9938.05,9799,584.98881495
1520514000,9711,9910,9799,9910,547.5637243
1520517600,9770,9933.43,9910,9771.99,419.02215882
1520521200,9770,9938,9771.99,9928.98,526.71716636
1520524800,9365,9928.98,9928.98,9432.6,2396.78455799
1520528400,9050,9432.6,9432.6,9300,4187.13080958
1520532000,9212,9419.99,9300,9357.09,1474.38115016
1520535600,9245.12,9388,9355,9367.5,1042.46071567
1520539200,9281.52,9395,9367.5,9395,966.70787799
1520542800,9330,9462.59,9394.99,9337.01,910.27152221
1520546400,9250,9420,9337,9270.01,689.56311708
1520550000,9270,9369,9270.01,9304.89,548.34652147
1520553600,9304.89,9410,9304.9,9379.99,650.68317106
1520557200,9001.11,9380,9380,9108.64,2348.68695949
1520560800,8903,9146.44,9108.64,9014.99,2930.62696236
1520564400,8951,9049,9015,8976.24,1219.20129504
1520568000,8573.23,8976.24,8976.24,8640,3767.85611595
1520571600,8461,8767,8640.01,8499.9,2541.32575147
1520575200,8370,8857.22,8499.91,8815.08,3828.37159875
1520578800,8709,8864.4,8812.23,8727,1696.45627206
1520582400,8610,8833.08,8727,8680,1447.31345364
1520586000,8415,8733.69,8680,8555.89,999.44496934
1520589600,8482,8764.99,8555.89,8730.18,861.25874107
1520593200,8674.78,8958.99,8731.28,8952.79,1107.53948293
1520596800,8878.98,9047.4,8952.79,8995.78,1183.39235266
1520600400,8830.68,9010,8995.83,8930,1009.07729416
1520604000,8917.56,9169,8930.11,9162.09,1669.56263429
1520607600,8928.65,9162.11,9162.1,8969.96,1565.458146
1520611200,8650,9066.22,8969.96,8711.3,2411.41987788
1520614800,8681.69,8842,8708.46,8763.96,1268.56108868
1520618400,8763.95,8950,8763.95,8899.01,1522.45088098
1520622000,8671.57,8900,8899.01,8786.03,1532.22958218
1520625600,8760,9011,8786.03,8992.41,1422.56293105
1520629200,8952.4,9130,8992.41,9004.83,1591.82357513
1520632800,8930,9245.08,9004.84,9230.01,1584.63266835
1520636400,9154.38,9339,9230,9255,1881.42181369
1520640000,9240.01,9335,9255,9325,1130.8317074
1520643600,9300,9416.56,9325,9323.95,1359.89898013
1520647200,9252.51,9355.05,9323.95,9300.74,817.41986644
1520650800,9164.28,9313.22,9300.74,9260.01,1124.07608573
1520654400,9220.04,9349,9260.01,9323,453.50557845
1520658000,9231.78,9357,9323.01,9352.4,469.35868835
1520661600,9352.39,9518.77,9352.4,9450,1010.82919251
1520665200,9340.31,9465.5,9450.01,9360.89,497.39100703
1520668800,9331.3,9429.79,9360.89,9343.61,324.46936781
1520672400,9212.76,9382.65,9343.61,9218.25,454.72225112
1520676000,9188,9356.1,9218.26,9329.99,282.28560632
