ts,open,high,low,close,confirm
1786399200000,63983.2,64058.5,63940.2,64017.5,1
1786402800000,64017.5,64022.1,63917.9,63972.8,1
1786406400000,63972.8,64060,63891.6,64040.6,1
1786410000000,64040.7,64079.9,63956.9,64059.9,1
1786413600000,64059.9,64087.5,64032.3,64044.2,1
1786417200000,64044.2,64181.3,64044.2,64146.3,1
1786420800000,64146.3,64157.4,64026.1,64026.1,1
1786424400000,64026.1,64053.7,63959.2,63997.1,1
1786428000000,63997.2,64051.9,63855.3,63969.8,1
1786431600000,63969.8,64113.5,63910.6,64067.6,1
1786435200000,64067.6,64153,64045,64138,1
1786438800000,64138,64304.4,64126.1,64304.4,1
1786442400000,64304.4,64313.9,64200,64228.5,1
1786446000000,64228.5,64405.2,64228.5,64388.2,1
1786449600000,64388.2,64494.5,64291.7,64327.6,1
1786453200000,64327.6,64370.9,64048.5,64201.7,1
1786456800000,64201.7,64264,63712.3,63770.7,1
1786460400000,63770.7,63868,63446.8,63607.5,1
1786464000000,63607.5,63657.1,63456.1,63509.4,1
1786467600000,63509.4,63633.6,63461.1,63605.4,1
1786471200000,63605.4,63625.6,63249,63372.6,1
1786474800000,63372.6,63540,63234.6,63536,1
1786478400000,63536,63752.4,63536,63743,1
1786482000000,63743,63770.1,63618.5,63672.3,1
1786485600000,63672.3,63769.8,63623.8,63666.2,1
1786489200000,63666.2,63666.3,63546.7,63594.1,1
1786492800000,63594.1,63745.8,63534.6,63742.8,1
1786496400000,63742.8,63858.9,63692.1,63821.1,1
1786500000000,63821.1,63909.4,63731.2,63751,1
1786503600000,63751,63845.5,63708.1,63830.1,1
1786507200000,63830.1,63892.1,63738.1,63774.6,1
1786510800000,63774.6,63871,63727.9,63850.6,1
1786514400000,63850.6,63850.6,63603.9,63713.3,1
1786518000000,63713.3,63836.6,63641.1,63834.1,1
1786521600000,63834.1,63863.6,63774.5,63794.6,1
1786525200000,63794.6,64107.9,63766.4,64107.4,1
1786528800000,64107.4,64219.7,64061.7,64140.1,1
1786532400000,64140.1,64250.3,64111.6,64238.8,1
1786536000000,64238.8,64472.4,63976.5,64123,1
1786539600000,64123,64158.7,63837.3,63839.9,1
1786543200000,63839.9,63925.8,63362.4,63366.2,1
1786546800000,63366.2,63572.4,63315,63443.3,1
1786550400000,63443.3,63580.3,63365.8,63491.6,1
1786554000000,63491.6,63554.7,63413.6,63471.8,1
1786557600000,63471.8,63523.8,63373.5,63384.4,1
1786561200000,63384.4,63463.1,63309.1,63421.3,1
1786564800000,63421.3,63601.5,63420.4,63601.4,1
1786568400000,63601.4,63658,63425.1,63471.4,1
1786572000000,63471.4,63537.7,63368.5,63432.3,1
1786575600000,63432.3,63487,63376.9,63482.6,1
1786579200000,63482.6,63714,63462.1,63559.9,1
1786582800000,63559.9,63633,63379.7,63456,1
1786586400000,63456,63582.5,63375.4,63549.4,1
1786590000000,63549.4,63687,63506.2,63647.9,1
1786593600000,63647.9,63777.5,63592.5,63694.4,1
1786597200000,63694.4,64012.1,63670.7,63873.9,1
1786600800000,63873.9,63940.2,63758.1,63940.2,1
1786604400000,63940.2,63945.8,63855.2,63864.6,1
1786608000000,63864.6,63913.2,63739.8,63768.5,1
1786611600000,63768.5,63787.7,63581.8,63781.2,1
1786615200000,63781.2,63822,63582.9,63652.7,1
1786618800000,63652.7,63663.4,63347.3,63482.4,1
1786622400000,63482.4,63711.9,63443.8,63699.6,1
1786626000000,63699.6,63852.9,63563.1,63724.1,1
1786629600000,63724.1,64002.4,63683.5,63862.1,1
1786633200000,63862.1,63942.1,63416.2,63416.2,1
1786636800000,63416.2,63570.9,62849.7,63161.1,1
1786640400000,63161.1,63296.7,63074.1,63144.3,1
1786644000000,63144.3,63370.2,63112.4,63309.5,1
1786647600000,63309.5,63516.1,63309.5,63409.4,1
1786651200000,63409.4,63474,63369.3,63414.4,1
1786654800000,63414.4,63503.6,63390.7,63474.6,1
1786658400000,63474.6,63644.8,63474.6,63529.3,1
1786662000000,63529.3,63538.6,63394.4,63485.7,1
1786665600000,63485.7,63554.2,63407.8,63541.8,1
1786669200000,63541.8,63587.8,63458.1,63574.3,1
1786672800000,63574.6,63619,63466.6,63466.6,1
