date,BTCUSDT,ETHUSDT,SNDKUSDT,BTCUSDC,SPCXUSDT,ETHUSDC,XAUUSDT,SOLUSDT,SNXXUSDT,MUUSDT,SOXLUSDT,SKHYNIXUSDT,XAGUSDT,KORUUSDT,SKHYUSDT,CLUSDT,GPSUSDT,ZECUSDT,XRPUSDT,ACEUSDT,HYPEUSDT,TUTUSDT,PORTALUSDT,BTWUSDT,BZUSDT,DRAMUSDT,CYSUSDT,BNBUSDT,DOGEUSDT,SOLUSDC,PUMPUSDT,WLDUSDT,APRUSDT,LINKUSDT,SOXSUSDT,SAMSUNGUSDT,INTCUSDT,CRCLUSDT,ADAUSDT,AIOUSDT,1000PEPEUSDT,NBISUSDT,MRVLUSDT,MUUUSDT,AKEUSDT,QQQUSDT,VELVETUSDT,MSTRUSDT,HEMIUSDT,BEATUSDT,SUIUSDT,PAXGUSDT,EWYUSDT,NVDAUSDT,ONGUSDT,CBRSUSDT,CHIPUSDT,AAOIUSDT,LITEUSDT,GOOGLUSDT,NEARUSDT,HUSDT,SPCXUSD1,AVAXUSDT,AXTIUSDT,TRXUSDT,XAUTUSDT,TSLAUSDT,KAITOUSDT,XPINUSDT,ENAUSDT,ONDOUSDT,GRVTUSDT,CAPUSDT,AAPLUSDT,TAOUSDT,XRPUSDC,ZHIPUUSDT,AAVEUSDT,AMDUSDT,MVLLUSDT,BTCUSD1,FILUSDT,BNBUSDC,XMRUSDT,BICOUSDT,UNIUSDT,BTCU,GIGGLEUSDT,COWUSDT,STARUSDT,HOMEUSDT,LTCUSDT,MSFTUSDT,BEUSDT,TQQQUSDT,WLFIUSDT,BSBUSDT,FETUSDT,COHRUSDT,RKLBUSDT,SPYUSDT,METAUSDT,DELLUSDT,SKYAIUSDT,1000SHIBUSDT,XLMUSDT,PENGUUSDT,BCHUSDT,DOTUSDT,APTUSDT,WDCUSDT,ETHFIUSDT,EDENUSDT,COINUSDT,NATGASUSDT,LITUSDT,INJUSDT,CRWVUSDT,ZECUSDC,PLTRUSDT,AMZNUSDT,ALICEUSDT,ARMUSDT,TRUMPUSDT,ALLOUSDT,ORCLUSDT,BANKUSDT,EULUSDT,PRLUSDT,COPPERUSDT,CRVUSDT,RAREUSDT,HBARUSDT,COTIUSDT,MINIMAXUSDT,OPUSDT,USUSDT,DEXEUSDT,ROBOUSDT,REUSDT,MUBARAKUSDT,SOPHUSDT,DOSUSDT,LABUSDT,ETHU,ONUSDT,FARTCOINUSDT,ETCUSDT
2019-09-30,436701925.16117001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-01,327218811.62990999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-02,249785989.08192000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-03,274334928.39047003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-04,230978393.31481999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-05,244744089.06028000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-06,333155725.01068002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-07,504822438.82757002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-08,366576763.24704999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-09,549731852.71201003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
