date,BTC,ETH,USDT,BNB,USDC,XRP,SOL,TRX,HYPE,DOGE,LEO,ZEC,XMR,LINK,ADA,XLM,DAI,BCH,USD1,GRAM,CC,USDG,LTC,HBAR,PYUSD,SUI,AVAX,SHIB,CRO,OKB,NEAR,UNI,PAXG,WLFI,TAO,RLUSD,ONDO,ASTER,M,USDD,MNT,MORPHO,AAVE,DOT,WLD,ICP,SKY,U,BGB,PUMP,PEPE,ETC,PI,KCS,JST,POL,QNT,ENA,STABLE,ATOM,GT,ALGO,NEXO,KAS,RENDER,VVV,LIT,JUP,FIL,XDC,FLR,ETHFI,ARB,TUSD,CAKE,EURC
2020-06-03 00:00:00+00:00,177619631125.58898926,27153238868.03599930,9188046840.81594086,2728954685.49050999,732000938.69536495,8984172825.80269051,10119647.93543450,1125254391.58150005,,322396401.83518201,1198281103.09223008,490657671.66227102,1180483154.34741998,1571755300.34249997,2215176671.45324993,1674678758.15864992,131977978.93425199,4644349362.34234047,,,,,3060501220.39931011,194097967.52195200,,,,,1655204449.50623012,313442941.05119997,,,46801691.79455690,,,,,,,,,,,,,,,,,,,807006313.49023795,,79578811.99173290,5985940.34225814,,84611396.36144079,,,553810728.32828498,37455085.80588250,185728786.15591499,70741429.78188381,,,,,,0.00000000,23625849.21712230,,,,138041142.82334200,,
2020-06-04 00:00:00+00:00,180276153545.02899170,27184018611.49840164,9211044465.62869072,2732138445.99483013,736098441.98460400,9042323043.58480072,10131321.14006110,1127582122.04254007,,328426404.25042498,1222817102.33452010,486296049.84723300,1199146998.85800004,1551556871.16499996,2307510091.49421978,1673792978.51177001,132227475.49508500,4729712856.31750011,,,,,3090975368.89206982,201724247.36456299,,,,,1704625380.03429008,315057529.01040000,,,47292992.80755240,,,,,,,,,,,,,,,,,,,805782501.07692897,,80080753.59833699,5876626.53972747,,94320559.39620470,,,593369964.62006795,36709717.53420190,186143229.75141299,72262589.69984370,,,,,,0.00000000,20816095.05107980,,,,138382357.08179399,,
2020-06-05 00:00:00+00:00,177801825144.88198853,26830954614.32780075,9215795901.83172989,2751255650.12703991,737098009.79002404,9003078694.87619972,11405328.73858240,1129435476.70878005,,324106967.19474697,1233236830.79680991,492860782.99894601,1190533220.86854005,1532103067.69099998,2215260327.43051004,1613749745.88556004,131718161.31710701,4731247938.58040047,,,,,3053335010.43311977,198564674.07940501,,,,,1742781218.16939998,322592424.53399998,,,46847563.58462350,,,,,,,,,,,,,,,,,,,798817735.29312301,,78941538.87412600,5918378.13125984,,93498068.38344289,,,592857481.61195695,36498742.27675900,179268684.76883399,70581032.11081310,,,,,,0.00000000,20640839.75261840,,,,137241361.97145599,,
2020-06-06 00:00:00+00:00,177595657884.16500854,26913140925.05250168,9181588926.82308006,2727481712.89212990,733062334.92919004,8961182289.15830994,10737481.20069630,1133144993.85661006,,323074952.97266698,1246230022.45188999,492008767.78766698,1188967147.01546001,1519918210.44350004,2230397734.66987991,1621164011.56771994,131772151.77102500,4667251381.69318962,,,,,3032854878.55376005,197651370.60375100,,,,,1806080918.60905004,324685461.22439998,,,46462718.48912060,,,,,,,,,,,,,,,,,,,796826892.38930500,,78580898.06585830,6325643.29569892,,92845292.61319280,,,583074782.62908196,36261345.68364320,182478767.97361100,73941728.65610680,,,,,,0.00000000,20477876.60943770,,,,136571477.56706500,,
2020-06-07 00:00:00+00:00,179540253701.40399170,27276459502.39609909,9215681003.69898987,2713654464.63949013,735558465.32699800,8974728442.38812065,10636269.83129040,1212213636.77104998,,325471959.42468703,1244833512.33386993,487852972.72244197,1171616023.65344000,1522476590.64549994,2246692653.27699995,1603256958.33924007,135814147.62851301,4687107479.81270981,,,,,3029051320.83003998,197303717.28096601,,,,,1873371767.36231995,328680394.06320000,,,46401831.49600190,,,,,,,,,,,,,,,,,,,796352760.75609696,,79085253.00764170,6299972.24497839,,95326242.83149250,,,577194964.66176701,36468441.85426810,178692681.25789300,72285018.31740430,,,,,,0.00000000,22252644.78750630,,,,137440545.77900100,,
2020-06-08 00:00:00+00:00,179782576533.65200806,27406923225.59999847,9207629722.70903015,2705254791.88111019,735400452.58235097,8988927251.58782959,11528696.09849370,1197383066.23866010,,322775862.61256099,1245915870.21473002,489124852.20067197,1200204700.37158990,1560240660.30349994,2240876356.15608978,1623743108.59937000,123189669.71949200,4701736234.04545975,,,,,3016794014.53735018,197779030.48260200,,,,,1893621711.07978010,325970412.75120002,,,46690426.70743060,,,,,,,,,,,,,,,,,,,802390274.10200405,,78296681.42219029,6125389.62846624,,95117122.57151510,,,600388434.94776106,36248695.58224720,180472679.32217500,67803061.35640579,,,,,,0.00000000,24102570.02605570,,,,137402662.31525299,,
2020-06-09 00:00:00+00:00,180237817527.03100586,27254678255.18539810,9219861825.00885963,2711841299.65385008,742358300.82597804,8911356401.48274040,11350793.50697790,1174184864.78347993,,320861092.04229701,1251952770.52445006,487091392.59707600,1201062905.60770011,1557552083.58049989,2162490419.31653976,1594834475.83904004,121163650.13640600,4705399172.99310017,,,,,2990871180.85251999,195690988.64132300,,,,,2046499322.05450010,326619992.29979998,,,47915710.97972120,,,,,,,,,,,,,,,,,,,791539709.26694703,,78394675.34367810,6038590.79897143,,96088454.17145620,,,596711681.06079304,36405782.62254480,187422118.35744399,72285449.03693271,,,,,,0.00000000,24059576.05857860,,,,138462790.69274899,,
2020-06-10 00:00:00+00:00,181616765438.40200806,27539945413.34180069,9201188635.97162056,2707966985.36916018,730053626.62917304,8952182049.69714928,11124151.40359660,1174159746.77381992,,322845886.63460201,1250519194.36980009,515530122.99935502,1225296929.36950994,1547105469.39199996,2165703710.69231987,1597627956.55148005,121551706.33161300,4741528762.30449963,,,,,3030821037.20979977,202621804.20698300,,,,,2003374611.72685003,322682297.18879998,,,48367884.80368230,,,,,,,,,,,,,,,,,,,791839256.84365499,,78225682.20019659,5705818.79257512,,95905389.32517441,,,594319513.96116102,36374737.48049710,190564285.12197199,73363586.41155040,,,,,,0.00000000,23134267.37217130,,,,138693529.44419199,,
2020-06-11 00:00:00+00:00,171538133043.47299194,25791024830.97579956,9193510455.15864944,2536636729.84623003,733934795.28783000,8389388715.34652042,9897183.58341088,1054000297.98503006,,306396405.79605800,1242964526.99524999,466067021.31247699,1124577490.81849003,1389924052.35949993,1953868157.28712010,1452122626.09225011,126172139.45610601,4358094939.58238029,,,,,2825486778.82417011,180170571.54635999,,,,,1833132389.75551009,306052454.62140000,,,48048986.91547170,,,,,,,,,,,,,,,,,,,731120315.98521399,,74798600.87768359,4791250.59624527,,90127912.32015920,,,528456327.01116902,36054212.46709540,178762614.93060899,69478489.74419600,,0.00000000,,,,0.00000000,21946465.33097360,,,,138187559.24737301,,
2020-06-12 00:00:00+00:00,174474896921.53201294,26438827419.63949966,9216616642.70825005,2592663211.98738003,733338646.61875606,8555381744.85138035,10244352.38593450,1097485725.93434000,,314916066.04178298,1240514686.61314011,484297798.65047002,1158244416.91893005,1431829667.90849996,2062614026.60757995,1483473445.19706011,125167316.18047801,4465252557.08043957,,,,,2911065498.66153002,189619134.26740301,,,,,1897719873.74678993,312599086.31220001,,,47558369.20305280,,,,,,,,,,,,,,,,,,,746335211.91714597,,75312580.97421670,4919409.03519306,,82071790.60842170,,,546035452.67240095,36418882.36958430,179192217.26215899,70641839.54568750,,0.00000000,,,,0.00000000,22451985.58113650,,,,138063430.71408099,,
